,track,album,album_cover,artist,sample,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,lyrics
30,Ruta 40,Truenotierra,https://i.scdn.co/image/ab67616d0000b2731414d7efd2d08ba1b28ad728,La Renga,https://p.scdn.co/mp3-preview/338882834bb3fd85d5d977d97a12adf3b02ba6ad?cid=b1e13d47b67249bda69ed912bb4f7133,2006-01-14,207330,43,0.00322,0.428,0.972,0.0,0.357,-3.788,0.0508,131.306,4,"En donde estés, en cualquier lugar Y a donde quieras ir tras la tormenta O al viento cabalgar, yendo al norte o al sur Ya sin dudar toma la ruta cuarenta Rectas, sinuosas, lejanas que van Hacia otros mundos que en la mente aguardan Y creo circular por la ruta que no esta Embrujo largo del desierto hacia el alba Rodaras en mí, para ver Que tan lejos podría ser Esta por acá, no lo ves El lugar ese al que queres ir Si hasta tu alma querías llegar Has elegido el camino correcto La huella que se va, borrando por detrás En esta soledad que me han descubierto El espíritu viejo aun vive acá Cruza tu paso arremolinando el polvo Te quiere acariciar en tu áspero seguir El sabe que al que vas se llega por aquí Rodaras en mí, para ver Que tan lejos podría ser Esta por acá, no lo ves El lugar ese al que queres ir No solo llegaras sin saber Es que nunca podrás volver Ella estará ahí bajo el sol O en la nieve esperándote"
31,Fiesta Cervezal,"Pappo y Amigos, Vol. 1",https://i.scdn.co/image/ab67616d0000b273629f09689a78d2097b0210af,Pappo,https://p.scdn.co/mp3-preview/2cdc29f271ec3991cd2fcd5b64b162a00fe7907a?cid=b1e13d47b67249bda69ed912bb4f7133,2014-02-09,114266,45,0.000474,0.38,0.968,0.0153,0.224,-4.682,0.0702,88.185,4,
32,El Juicio Del Ganso - Live,Bailando En Una Pata (Live),https://i.scdn.co/image/ab67616d0000b273d9b2beb0f295e139ae99fec3,La Renga,https://p.scdn.co/mp3-preview/4fcb5ed52c1e71656b795645592f437132e3b9fe?cid=b1e13d47b67249bda69ed912bb4f7133,1995-01-01,333066,44,0.000227,0.303,0.891,1.42e-05,0.982,-8.606,0.0626,134.72,4,
33,Motoralmaisangre - En Directo Desde Estadio De Huracán Buenos Aires / 2001,Insoportablemente Vivo (En Directo Desde Estadio De Huracán Buenos Aires / 2001),https://i.scdn.co/image/ab67616d0000b273ec1329ec241421c988c261be,La Renga,,2001-09-13,236626,43,0.0226,0.384,0.98,0.000188,0.966,-4.515,0.114,137.485,4,
34,Parece un Caso Perdido,Alejado de la Red,https://i.scdn.co/image/ab67616d0000b2739ee2a8244735f99704d9ba9c,La Renga,https://p.scdn.co/mp3-preview/9eb45a853a541f75e6f3d899746bc02e289629f4?cid=b1e13d47b67249bda69ed912bb4f7133,2022-02-04,217453,43,0.00144,0.327,0.949,0.0,0.11,-4.497,0.146,185.278,4,
35,El Rito De Los Corazones Sangrando,A Donde Me Lleva La Vida,https://i.scdn.co/image/ab67616d0000b273c5a95016d412fd8bc0884084,La Renga,https://p.scdn.co/mp3-preview/d75ee6acf514a5e0598f7c0b95c8da692e012efd?cid=b1e13d47b67249bda69ed912bb4f7133,1994-01-01,239893,44,4.37e-05,0.273,0.732,0.00859,0.0947,-9.589,0.0417,111.259,4,"  Quién te trajo hasta mi corazón sangrando Respira un poco en mi pecho Y me hace sentir Que no existo más que para vos No existo más, más que para vos No existo más, más que para vos  Redondos ojos negros Que me ciegan de su tristeza Todo lo encuentro cuando te toco Todo, todo hasta la muerte Que me seduce y me hace bailar Este rito de los corazones sangrando   Corazón sangrando, el que te trajo a mí Ahora me lleva a vos Y me hace sentir Que no existo más que para vos No existo más, más que para vos No existo más, más que para vos "
36,El Viejo,"Pappo y Amigos, Vol. 2",https://i.scdn.co/image/ab67616d0000b2732996a878ef48f9ade09e3f7a,Pappo,https://p.scdn.co/mp3-preview/3f13b04b0ea213a81bf568751f610ec1e9f44fbe?cid=b1e13d47b67249bda69ed912bb4f7133,2014-01-09,280506,46,0.000355,0.177,0.939,0.000364,0.308,-4.49,0.0846,189.864,4,
37,Somos Los Mismos De Siempre,Esquivando Charcos,https://i.scdn.co/image/ab67616d0000b273d30731754f4561a52f797541,La Renga,,1991,192400,44,0.000214,0.418,0.809,1.15e-05,0.265,-11.908,0.0451,153.639,4,"Adónde vas, qué buscás En el frío de la noche En tu andar, veo mi andar Y somos los mismos de siempre La soledad, como un disfraz Te vende entre la gente Y hay un cartel, te invita a entrar Adentro suena un rock caliente No sé muy bien lo que te pueda pasar Pero, ya estás en ambiente, ya estás bien caliente La banda suena, te veo brillar No soy tu solución, pero sí un mejor disfraz Adónde vas, qué buscás En el filo de la noche No hay recetas, ni etiquetas Que te hagan sentir diferente Buscás refugio, querés sentir Querés un golpe de suerte Y en tu andar, veo mi andar Y somos los mismos de siempre"
38,Flecha en la Clave,Alejado de la Red,https://i.scdn.co/image/ab67616d0000b2739ee2a8244735f99704d9ba9c,La Renga,https://p.scdn.co/mp3-preview/20bd7031934c2989023278e23733c6aa53650438?cid=b1e13d47b67249bda69ed912bb4f7133,2022-02-04,232573,42,6.53e-05,0.322,0.976,0.000493,0.105,-3.652,0.188,169.93,4,
39,Caricias de Asfalto,Algún Rayo,https://i.scdn.co/image/ab67616d0000b27300d2f5e37dbfcc183c5ff5ba,La Renga,https://p.scdn.co/mp3-preview/82d174bbd5030d920bc78f72d8833a0bc08dd08b?cid=b1e13d47b67249bda69ed912bb4f7133,2010-01-14,227050,42,0.000224,0.609,0.807,0.00377,0.185,-6.452,0.0284,127.87,4,"Caricias oscuras, caricias oscuras Llena de dolor Arden calientes caricias dementes Queman por pasión Oscuras de fuego, caricias de fuego Llenas de amor Tu cuerpo si que quema nena Cuando quiere rockear Sacándome a la pista Para hacerme probar Caricias de asfalto Oscuras ardientes, caricias calientes Llenas de pasión Arden de fuego, caricias del suelo Llenas de amor Tu cuerpo si que quema nena Cuando quiere rockear Sacándome a la pista Para hacerme probar Caricias de asfalto Caricias oscuras, caricias oscuras Llenas de dolor Arden calientes, caricias dementes Queman por pasión Tu cuerpo si que quema nena Cuando quiere rodar Sacándome a la pista Para hacerme probar Caricias de asfalto"
