,name,album,album_cover,artist,sample,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
20,Rime of the Ancient Mariner - 2015 Remaster,Powerslave (2015 Remaster),https://i.scdn.co/image/ab67616d0000b2730335e5389b34f6acfb73a82d,Iron Maiden,https://p.scdn.co/mp3-preview/883b2aaa6f6f16719c8f650b0b14c916fb4099c2?cid=b1e13d47b67249bda69ed912bb4f7133,1984,818693,55,0.0986,0.39,0.932,0.00961,0.322,-6.558,0.0666,112.034,4
21,22 Acacia Avenue - 2015 Remaster,The Number of the Beast (2015 Remaster),https://i.scdn.co/image/ab67616d0000b2735c29a88ba5341ca428f0c322,Iron Maiden,https://p.scdn.co/mp3-preview/66c69e6d1944867c2786469ea51a28fb09a6a897?cid=b1e13d47b67249bda69ed912bb4f7133,1982,396760,53,0.0359,0.305,0.907,0.0593,0.102,-5.866,0.0619,112.737,4
22,Blood Brothers - 2015 Remaster,Brave New World (2015 Remaster),https://i.scdn.co/image/ab67616d0000b273e1c50403652529dccf16f84c,Iron Maiden,https://p.scdn.co/mp3-preview/684d7a32b42fd539cbc59148952b87be7a0bcfc4?cid=b1e13d47b67249bda69ed912bb4f7133,2000,434293,57,0.0501,0.243,0.809,0.0338,0.133,-6.316,0.0479,182.679,3
23,Revelations - 2015 Remaster,Piece of Mind (2015 Remaster),https://i.scdn.co/image/ab67616d0000b2732277d1a849a63c7075ec38ff,Iron Maiden,https://p.scdn.co/mp3-preview/37a71387d8331c7606ce21f7d602f179924e161e?cid=b1e13d47b67249bda69ed912bb4f7133,1983,409626,55,0.189,0.304,0.845,0.00106,0.344,-5.632,0.0788,90.374,4
24,Seventh Son of a Seventh Son - 2015 Remaster,Seventh Son of a Seventh Son (2015 Remaster),https://i.scdn.co/image/ab67616d0000b2731d7e954fb2f8b98a4cea3eca,Iron Maiden,https://p.scdn.co/mp3-preview/7f0af27b2542b3e65e90c305bbfa76574b442aa2?cid=b1e13d47b67249bda69ed912bb4f7133,1988,594080,53,0.164,0.243,0.872,0.0175,0.158,-6.058,0.0523,105.828,4
25,The Prisoner - 2015 Remaster,The Number of the Beast (2015 Remaster),https://i.scdn.co/image/ab67616d0000b2735c29a88ba5341ca428f0c322,Iron Maiden,https://p.scdn.co/mp3-preview/00ac98c2c4b3eb5896665fd3d01cebc2351b1dc0?cid=b1e13d47b67249bda69ed912bb4f7133,1982,362520,54,0.0128,0.306,0.88,0.653,0.0964,-5.535,0.0485,106.964,4
26,Caught Somewhere in Time - 2015 Remaster,Somewhere in Time (2015 Remaster),https://i.scdn.co/image/ab67616d0000b27369059f3685b992f9ce22cd4c,Iron Maiden,https://p.scdn.co/mp3-preview/19c06cbb98038b884b055feeaa468cd90bc5cbc0?cid=b1e13d47b67249bda69ed912bb4f7133,1986,447333,52,0.00218,0.238,0.987,0.0175,0.107,-4.408,0.168,174.124,4
27,The Clansman - 2015 Remaster,Virtual XI (2015 Remaster),https://i.scdn.co/image/ab67616d0000b2736805b0426a6ffe0647e5a85b,Iron Maiden,https://p.scdn.co/mp3-preview/5fa81f5bb2fb12780bfebda314110285c648cf9a?cid=b1e13d47b67249bda69ed912bb4f7133,1998,539786,52,0.15,0.257,0.683,0.0111,0.116,-6.67,0.0495,154.106,4
28,Ghost of the Navigator - 2015 Remaster,Brave New World (2015 Remaster),https://i.scdn.co/image/ab67616d0000b273e1c50403652529dccf16f84c,Iron Maiden,https://p.scdn.co/mp3-preview/6fdd78eb6181f886dea8083de174b126bc6cc7d0?cid=b1e13d47b67249bda69ed912bb4f7133,2000,410026,51,0.00114,0.282,0.942,2.77e-05,0.0875,-4.904,0.092,107.992,4
29,Prowler - 2015 Remaster,Iron Maiden (2015 Remaster),https://i.scdn.co/image/ab67616d0000b2736ac3ed972e1c181cd2ee8d55,Iron Maiden,https://p.scdn.co/mp3-preview/f8ab513b85e75e8fde5ce4ae7bfcc08fd9f8985f?cid=b1e13d47b67249bda69ed912bb4f7133,1980,235400,53,0.000787,0.295,0.934,0.0029,0.482,-5.231,0.0668,96.636,4
30,Alexander the Great (356-323 B.C.) - 2015 Remaster,Somewhere in Time (2015 Remaster),https://i.scdn.co/image/ab67616d0000b27369059f3685b992f9ce22cd4c,Iron Maiden,https://p.scdn.co/mp3-preview/97fba47de30d2718a6789fa7d9f9429e4ff50eef?cid=b1e13d47b67249bda69ed912bb4f7133,1986,517093,53,0.084,0.454,0.944,0.0119,0.11,-5.003,0.0849,113.321,4
31,The Clairvoyant - 2015 Remaster,Seventh Son of a Seventh Son (2015 Remaster),https://i.scdn.co/image/ab67616d0000b2731d7e954fb2f8b98a4cea3eca,Iron Maiden,https://p.scdn.co/mp3-preview/043bfe8ec924adbc9bfacf65a4ccaed0521e34e1?cid=b1e13d47b67249bda69ed912bb4f7133,1988,267293,51,0.0623,0.374,0.944,2.13e-05,0.171,-3.746,0.106,102.195,4
32,Dance of Death - 2015 Remaster,Dance of Death (2015 Remaster),https://i.scdn.co/image/ab67616d0000b273d0d7dbbbb9ee8980315ea58b,Iron Maiden,https://p.scdn.co/mp3-preview/42f15da41e21363d544c3db2a5138e49d8e87d66?cid=b1e13d47b67249bda69ed912bb4f7133,2003,516426,56,0.0466,0.311,0.876,0.00442,0.134,-5.115,0.0936,124.584,4
33,Running Free - 2015 Remaster,Iron Maiden (2015 Remaster),https://i.scdn.co/image/ab67616d0000b2736ac3ed972e1c181cd2ee8d55,Iron Maiden,https://p.scdn.co/mp3-preview/8a12ba5fdf90cf2b8bef88a2950c4cf74da49878?cid=b1e13d47b67249bda69ed912bb4f7133,1980,197573,52,0.000777,0.478,0.823,0.229,0.169,-5.346,0.206,171.263,4
