"","GS","ganancia_peso"
"1043","16",71.42
"1044","16",71.45
"1045","16",71.45
"1046","13",71.46
"1047","13",71.46
"1048","16",71.46
"1049","16",71.46
"1050","16",71.51
"1051","13",71.51
"1052","16",71.52
"1053","13",71.52
"1054","13",71.53
"1055","16",71.55
"1056","16",71.55
"1057","16",71.58
"1058","16",71.61
"1059","16",71.62
"1060","16",71.64
"1061","16",71.67
"1062","16",71.67
"1063","16",71.69
"1064","16",71.7
"1065","16",71.76
"1066","13",71.82
"1067","16",71.85
"1068","16",71.85
"1069","16",71.86
"1070","16",71.88
"1071","16",71.88
"1072","13",71.89
"1073","16",71.92
"1074","16",71.93
"1075","16",71.94
"1076","13",71.97
"1077","16",71.98
"1078","16",72
"1079","16",72.01
"1080","16",72.04
"1081","13",72.06
"1082","16",72.07
"1083","16",72.08
"1084","16",72.11
"1085","16",72.11
"1086","16",72.11
"1087","13",72.13
"1088","13",72.13
"1089","13",72.16
"1090","16",72.17
"1091","16",72.18
"1092","16",72.18
"1093","13",72.2
"1094","16",72.24
"1095","16",72.33
"1096","16",72.35
"1097","16",72.36
"1098","16",72.36
"1099","16",72.47
"1100","16",72.48
"1101","13",72.49
"1102","13",72.52
"1103","16",72.54
"1104","16",72.54
"1105","16",72.54
"1106","16",72.55
"1107","13",72.55
"1108","16",72.57
"1109","16",72.59
"1110","16",72.59
"1111","13",72.61
"1112","13",72.61
"1113","16",72.62
"1114","16",72.64
"1115","16",72.67
"1116","16",72.69
"1117","16",72.71
"1118","16",72.72
"1119","16",72.76
"1120","16",72.77
"1121","13",72.79
"1122","13",72.8
"1123","16",72.8
"1124","13",72.83
"1125","16",72.91
"1126","13",72.91
"1127","16",72.92
"1128","13",72.92
"1129","16",72.92
"1130","16",72.93
"1131","16",72.94
"1132","13",72.95
"1133","16",72.96
"1134","16",72.97
"1135","16",73.04
"1136","16",73.09
"1137","16",73.1
"1138","16",73.12
"1139","16",73.14
"1140","16",73.17
"1141","16",73.21
"1142","13",73.22
"1143","16",73.24
"1144","16",73.25
"1145","13",73.26
"1146","13",73.27
"1147","16",73.28
"1148","16",73.29
"1149","16",73.31
"1150","16",73.36
"1151","16",73.37
"1152","16",73.38
"1153","16",73.42
"1154","16",73.43
"1155","16",73.45
"1156","16",73.51
"1157","16",73.52
"1158","13",73.53
"1159","16",73.55
"1160","16",73.58
"1161","16",73.6
"1162","13",73.61
"1163","16",73.61
"1164","16",73.64
